name,latitude,longitude
300 არაგველი,41.68799479999999,44.8262332
ისანი,41.6866252,44.8399633
რუსთაველი,41.703496999999984,44.7896467
თავისუფლების მოედანი,41.694524799999996,44.800563
ნაძალადევი,41.733403599999995,44.7964257
მარჯანიშვილი,41.70959409999999,44.7968749
სახელმწიფო უნივერსიტეტი,41.7228253,44.7185112
ახმეტელის თეატრი,41.791055799999995,44.8149983
სარაჯიშვილი,41.784058099999996,44.7999179
გურამიშვილი,41.7757645,44.7955795
გოცირიძე,41.7429401,44.78404520000001
სამგორი,41.685484499999994,44.8544654
ტექნიკური უნივერსიტეტი,41.72034879999999,44.7766431
სამედიცინო უნივერსიტეტი,41.72727940000001,44.7638395
დელისი,41.725486499999995,44.7453411
ვაჟა-ფშაველა,41.72403409999999,44.730853
წერეთელი,41.7264122,44.7876612
დიდუბე,41.7494522,44.779994
ღრმაღელე,41.76497400000001,44.7899602
ავლაბარი,41.692259099999994,44.8158409
სადგურის მოედანი-1,41.72254349999999,44.7977688
სადგურის მოედანი-2,41.72257789999999,44.7964416
ვარკეთილი,41.6918215,44.870737000000005
